header,primary_lib,lib_name,resolved_funcs,total_prototypes,other_libs
powerbase.h,libpowrprof.a,powrprof,5,5,
powersetting.h,libpowrprof.a,powrprof,10,11,
powrprof.h,libpowrprof.a,powrprof,64,64,
prntvpt.h,libprntvpt.a,prntvpt,11,11,
process.h,libdavclnt.a,davclnt,1,3,spoolss(1);p2pcollab(1);p2p(1);prntvpt(1);msoledbsql(1)
processenv.h,libkernel32.a,kernel32,24,24,windowsappcompat(2);winstorecompat(2);mingwex(1)
processthreadsapi.h,libkernel32.a,kernel32,61,68,winpthread(16);pthread(16);winstorecompat(11);gmon(7);mingw32(5);windowsappcompat(5);advapi32(4);mingwex(2);msvcr120_app(1)
processtopologyapi.h,libkernel32.a,kernel32,3,4,
profileapi.h,libwinpthread.a,winpthread,2,2,pthread(2);kernel32(2)
propvarutil.h,libpropsys.a,propsys,27,27,ole32(1)
prsht.h,libcomctl32.a,comctl32,5,6,
psapi.h,libpsapi.a,psapi,27,28,winstorecompat(1);windowsappcompat(1)
qos2.h,libqwave.a,qwave,11,11,
ras.h,librasapi32.a,rasapi32,79,81,
rasdlg.h,librasdlg.a,rasdlg,6,6,
rassapi.h,libmprapi.a,mprapi,5,13,
realtimeapiset.h,libkernel32.a,kernel32,5,11,windowsapp(5);mincore(5)
resapi.h,libresutil.a,resutil,77,90,
restartmanager.h,librstrtmgr.a,rstrtmgr,11,11,
roapi.h,libruntimeobject.a,runtimeobject,9,9,
rpcproxy.h,librpcrt4.a,rpcrt4,11,18,
rtccore.h,libuserenv.a,userenv,1,565,
rtutils.h,librtutils.a,rtutils,33,34,
scesvc.h,libwinpthread.a,winpthread,1,6,pthread(1);gmon(1);kernel32(1)
schannel.h,libksecdd.a,ksecdd,2,3,schannel(1)
sddl.h,libadvapi32.a,advapi32,8,8,
securitybaseapi.h,libadvapi32.a,advapi32,95,104,kernel32(7);windowsapp(1);mincore(1)
sensapi.h,libsensapi.a,sensapi,3,3,
setupapi.h,libsetupapi.a,setupapi,314,315,
shellscalingapi.h,libshcore.a,shcore,1,1,
shlobj.h,libshell32.a,shell32,4,4,
slpublic.h,libslc.a,slc,8,11,slwga(1);slcext(1)
sqloledb.h,liboleaut32.a,oleaut32,1,16,ole32(1)
synchapi.h,libsynchronization.a,synchronization,55,58,kernel32(55);winstorecompat(11);winpthread(11);pthread(11);mingwex(5);mingw32(4);gmon(3);msvcrt(2);crtdll(2);msvcrt-os(2);msvcr70(2);msvcr71(2);msvcrt40(2);msvcrt20(2);msvcrt10(2)
sysinfoapi.h,libkernel32.a,kernel32,30,31,winpthread(4);pthread(4);winstorecompat(2);msvcrt(1);msvcrt-os(1);ntoskrnl(1);ntdll(1);mingwex(1);ws2_32(1)
systemtopologyapi.h,libkernel32.a,kernel32,2,2,
t2embapi.h,libt2embed.a,t2embed,5,5,
